id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts300399,Five Came Back: The Reference Films,SHOW,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,TV-MA,48,['documentation'],['US'],1.0,,,,0.6,
ts22164,Monty Python's Flying Circus,SHOW,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,72895.0,12.919,8.3
ts45948,Monty Python's Fliegender Zirkus,SHOW,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,TV-MA,43,['comedy'],[],1.0,tt0202477,8.1,2144.0,1.49,7.0
ts20681,Seinfeld,SHOW,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989,TV-PG,24,['comedy'],['US'],9.0,tt0098904,8.9,302700.0,128.743,8.3
ts22082,Knight Rider,SHOW,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,33760.0,44.378,7.5
ts21715,Thomas & Friends,SHOW,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,tt0086815,6.5,4948.0,49.384,6.6
ts20678,Saved by the Bell,SHOW,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5.0,tt0096694,7.1,34854.0,16.945,8.0
ts25028,Wheel of Fortune,SHOW,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,TV-G,26,['family'],['US'],39.0,tt0072584,6.7,3126.0,1440.855,6.7
ts23753,Major Dad,SHOW,"Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.4,2866.0,7.506,6.3
ts2760,Fireman Sam,SHOW,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1,1759.0,25.697,7.3
ts987,Danger Mouse,SHOW,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,tt0081848,7.4,3514.0,7.748,7.4
ts63001,High Risk,SHOW,"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,TV-PG,50,['comedy'],['US'],1.0,tt0094478,3.8,6.0,0.6,
ts20981,Survivor,SHOW,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,TV-PG,48,['reality'],['US'],42.0,tt0239195,7.4,24368.0,73.107,7.3
ts22176,Stargate SG-1,SHOW,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",1997,TV-PG,44,"['scifi', 'drama', 'action']","['US', 'CA']",10.0,tt0118480,8.4,90196.0,167.57,8.2
ts21223,Pokémon,SHOW,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",['JP'],24.0,tt0168366,7.6,172.0,138.135,7.6
ts20339,One Piece,SHOW,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",['JP'],21.0,tt0388629,8.8,112586.0,105.955,8.8
ts34435,Cowboy Bebop,SHOW,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.",1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0213338,8.9,112887.0,34.769,8.5
ts20927,Star Trek: Deep Space Nine,SHOW,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way.",1993,TV-PG,47,"['scifi', 'action', 'drama']",['US'],7.0,tt0106145,8.1,61145.0,61.159,7.9
ts5145,The Challenge,SHOW,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,tt0176095,7.8,3274.0,15.699,7.6
ts21567,Gilmore Girls,SHOW,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,tt0238784,8.2,119054.0,51.125,7.8
ts20983,Neon Genesis Evangelion,SHOW,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,tt0112159,8.5,64727.0,51.993,8.6
ts22193,The Magic School Bus,SHOW,An eccentric schoolteacher takes her class on wondrous educational field trips with the help of a magical school bus.,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,tt0108847,7.8,9708.0,30.176,7.9
ts20960,Power Rangers,SHOW,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,tt0106064,6.5,21949.0,21.083,6.7
ts11397,Adventures of Sonic the Hedgehog,SHOW,"Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius.",1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,tt0222518,6.2,3808.0,23.374,6.2
ts22489,Goosebumps,SHOW,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.",1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,tt0111987,7.6,13361.0,88.924,8.0
ts25252,Yu-Gi-Oh!,SHOW,"A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.",1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,tt4834194,7.2,20888.0,75.438,7.3
ts21034,InuYasha,SHOW,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,tt0290223,7.9,15823.0,149.742,8.6
ts251477,My First Errand,SHOW,“Hajimete no Otsukai” (First Errand) is a Japanese TV show that follows small children as they carry out errands for their parents.,1991,TV-G,19,['reality'],['JP'],12.0,,,,12.155,7.0
ts8570,Barney & Friends,SHOW,"Barney & Friends is an American children's television series aimed at children from ages 2 to 5. The series, which first aired on April 6, 1992, features the title character Barney, a purple anthropomorphic Tyrannosaurus rex who conveys educational messages through songs and small dance routines with a friendly, optimistic attitude.

New episodes have not been produced since 2009; however reruns continue to air on various PBS stations.",1992,TV-G,28,['family'],['US'],14.0,tt0144701,3.8,9955.0,46.955,5.0
ts20939,Moesha,SHOW,"Moesha was an American sitcom series that aired on the UPN network from January 23, 1996 to May 14, 2001. The series stars R&B singer Brandy Norwood as Moesha Mitchell, a high school student living with her family in the Leimert Park neighborhood of South Central Los Angeles. It was originally ordered as a pilot for the CBS network's 1995-1996 television season, who rejected. It was then picked up by UPN, who aired it as a mid-season replacement. It went on to become the biggest success for the nascent network and one of the greatest hits over the course of the network's entire run.",1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,tt0115275,5.7,3713.0,7.483,7.3
ts21693,"Sister, Sister",SHOW,"Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.",1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,tt0108927,6.2,12535.0,12.029,7.6
ts22286,Cardcaptor Sakura,SHOW,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,tt0221735,8.0,4936.0,53.714,8.7
ts21581,Girlfriends,SHOW,"Girlfriends is an American comedy-drama sitcom that premiered on September 11, 2000, on UPN and aired on UPN's successor network, The CW, before being cancelled in 2008. The final episode aired on February 11, 2008.

When Girlfriends returned in fall 2007 for its eighth season, it became the longest-running live-action sitcom on network television that was on air that year, as well as one of the highest-rated scripted shows on television among African American adults and women 18-34, including its spin-off The Game.",2000,TV-PG,21,"['comedy', 'drama']",['US'],8.0,tt0247102,7.2,4482.0,17.929,7.6
ts20918,The Parkers,SHOW,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",1999,TV-PG,19,['comedy'],['US'],5.0,tt0200353,6.8,2346.0,9.733,8.0
ts18465,Dale's Supermarket Sweep,SHOW,Dale's Supermarket Sweep was a UK game show based on the American Supermarket Sweep TV show format.,1993,TV-G,21,[],['GB'],8.0,tt0962853,7.1,39.0,0.947,8.3
ts22080,Oggy and the Cockroaches,SHOW,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.",1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7.0,tt0213363,7.4,4185.0,26.074,7.5
ts22039,H,SHOW,"H is a French sitcom with seventy-one, 22-minute episodes. The series was created by Kader Aoun, Xavier Matthieu and Éric Judor, and produced by Phillippe Berthe, Édouard Molinaro, Jean-Luc Moreau and Charles Némès. It ran from 24 October 1998 to 20 April 2002 on Canal+. In Canada, it is shown weekly on TV5.

The title ""H"" comes from the three words that characterize the series: Humour, Histoire et Hôpital.",1998,TV-MA,25,['comedy'],['FR'],4.0,tt0173554,7.4,1703.0,11.362,7.6
ts21684,Heartbreak High,SHOW,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,1994,TV-MA,47,"['drama', 'romance', 'comedy']",['AU'],7.0,tt0108800,7.8,3106.0,16.211,7.3
ts224786,Escalona,SHOW,"The improbable real life of Rafael Escalona, who had no music education and became Colombia's king of vallenato music, chronicling everyday life.",1991,TV-MA,44,['drama'],['CO'],1.0,,,,9.244,7.7
ts28516,Okupas,SHOW,"During the year 2000, Ricardo, Pollo, Walter and Chiqui occupied a house in the Buenos Aires neighborhood of Congreso. The four young people forge a strong friendship that leads them to go through different stories of crime, drugs and social marginalization.",2000,TV-MA,40,"['crime', 'drama']",['AR'],1.0,tt0289649,9.0,2326.0,6.971,8.8
ts4,Breaking Bad,SHOW,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008,TV-MA,48,"['drama', 'thriller', 'crime']",['US'],5.0,tt0903747,9.5,1727694.0,337.419,8.8
ts9,The Walking Dead,SHOW,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",['US'],11.0,tt1520211,8.2,945125.0,773.19,8.1
ts26091,The Staircase,SHOW,"Academy Award-winning documentary filmmaker, Jean-Xavier de Lestrade, presents a gripping courtroom thriller, offering a rare and revealing inside look at a high-profile murder trial. In 2001, author Michael Peterson was arraigned for the murder of his wife Kathleen, whose body was discovered lying in a pool of blood on the stairway of their home. Granted unusual access to Peterson's lawyers, home and immediate family, de Lestrade's cameras capture the defense team as it considers its strategic options. The series is an engrossing look at contemporary American justice that features more twists than a legal bestseller.",2004,TV-MA,49,"['crime', 'documentation', 'drama']",['FR'],2.0,tt0388644,7.8,21531.0,14.185,7.7
ts11,Downton Abbey,SHOW,"A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian era—with great events in history having an effect on their lives and on the British social hierarchy.

",2010,TV-14,58,"['drama', 'romance', 'european']",['GB'],6.0,tt1606375,8.7,197744.0,57.029,8.1
ts21469,Grey's Anatomy,SHOW,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,2005,TV-14,49,"['drama', 'romance']",['US'],18.0,tt0413573,7.6,293618.0,1215.393,8.3
ts288536,The Great British Baking Show,SHOW,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,2010,TV-PG,57,"['reality', 'european']",['GB'],12.0,tt1877368,8.6,9564.0,10.825,7.7
ts6495,Criminal Minds,SHOW,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",2005,TV-14,44,"['thriller', 'crime', 'drama']",['US'],15.0,tt0452046,8.1,189191.0,401.416,8.3
ts22337,NCIS,SHOW,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",2003,TV-14,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",['US'],19.0,tt0364845,7.8,141049.0,254.207,7.6
ts8308,Community,SHOW,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.",2009,TV-PG,23,['comedy'],['US'],6.0,tt1439629,8.5,252564.0,48.311,8.0
ts22011,Heartland,SHOW,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?",2007,TV-PG,44,"['drama', 'family']",['CA'],15.0,tt1094229,8.4,15743.0,68.46,8.3
ts21465,Supernatural,SHOW,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",2005,TV-14,45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],15.0,tt0460681,8.5,428639.0,406.666,8.3
ts17156,Arrested Development,SHOW,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",2003,TV-MA,28,['comedy'],['US'],5.0,tt0367279,8.7,297552.0,54.388,8.1
ts20573,The IT Crowd,SHOW,"Two I.T. nerds and their clueless female manager, who work in the basement of a very successful company. When they are called on for help, they are never treated with any respect at all.",2006,TV-14,25,"['comedy', 'european']",['GB'],5.0,tt0487831,8.5,147409.0,27.917,8.1
ts12724,30 Rock,SHOW,"Liz Lemon, the head writer for a late-night TV variety show in New York, tries to juggle all the egos around her while chasing her own dream.",2006,TV-14,25,"['comedy', 'sport']",['US'],7.0,tt0496424,8.3,121514.0,34.689,7.4
ts3371,Avatar: The Last Airbender,SHOW,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'action']",['US'],3.0,tt0417299,9.3,297336.0,61.284,8.7
ts20604,Friday Night Lights,SHOW,"The trials and triumphs of life in the small town of Dillon, Texas, where high school football is everything.",2006,TV-14,43,"['drama', 'sport']",['US'],5.0,tt0758745,8.7,64449.0,32.434,8.0
ts21511,My Little Pony: Friendship Is Magic,SHOW,"""Get your muzzle out of those books and make some friends!"" That's what Princess Celestia tells Twilight Sparkle. She may be the smartest unicorn in Equestria, but Twilight Sparkle gets an ""incomplete"" in friendship. There's more to life than learning magic, after all -- so she goes to Ponyville on a mission to make friends. There she meets five special ponies who take her on exciting adventures and teach her the most powerful magic of all ... the magic of friendship!",2010,TV-Y7,22,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']","['CA', 'US']",9.0,tt1751105,7.6,20708.0,49.715,8.1
ts19036,The Fairly OddParents,SHOW,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.",2001,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'comedy']","['US', 'CA']",10.0,tt0235918,7.2,38046.0,151.92,7.7
ts32186,Sonic X,SHOW,Sonic and his friends team up with 12 year old Christopher to collect all the Chaos Emeralds and defeat the evil Dr. Eggman.,2003,TV-Y7,21,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",['JP'],3.0,tt0367413,6.1,4577.0,104.486,7.5
ts11313,DEATH NOTE,SHOW,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",['JP'],1.0,tt0877057,9.0,302147.0,104.037,8.7
ts21247,The Vampire Diaries,SHOW,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",2009,TV-14,42,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",['US'],8.0,tt1405406,7.7,310776.0,463.661,8.3
ts20305,Naruto,SHOW,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",['JP'],6.0,tt0409591,8.4,93980.0,362.73,8.4
ts2230,America's Next Top Model,SHOW,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.,2003,TV-14,44,['reality'],['US'],24.0,tt0391576,5.6,17843.0,12.812,5.3
ts17942,Chappelle's Show,SHOW,Dave Chappelle's singular point of view is unleashed through a combination of laidback stand-up and street-smart sketches.,2003,TV-14,21,"['comedy', 'music']",['US'],3.0,tt0353049,8.8,62140.0,13.557,8.1
ts22267,Trailer Park Boys,SHOW,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,2001,TV-MA,25,"['comedy', 'crime']",['CA'],12.0,tt0290988,8.6,41791.0,26.26,8.0
ts6644,Borgen,SHOW,"40-year old political leader Birgitte Nyborg secures her party a landslide victory through her idealism and huge effort, then faces the biggest challenge of her life: how most effectively to use the newly won seats, and how far she is willing to go in order to gain as much influence as possible.",2010,TV-MA,58,"['drama', 'european']",['DK'],4.0,tt1526318,8.5,23523.0,21.761,8.1
ts22018,iCarly,SHOW,"Watch Carly, Sam, and Freddie, as they try to balance their everyday 8th grade lives with their newfound fame managing and starring in the most awesome show on the web.",2007,TV-G,26,"['comedy', 'family', 'romance']",['US'],6.0,tt0972534,6.7,38281.0,96.149,8.0
ts30311,Victorious,SHOW,Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.,2010,TV-G,25,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",['US'],4.0,tt1604099,6.9,24224.0,76.049,8.2
ts21197,Merlin,SHOW,"The unlikely friendship between Merlin, a young man gifted with extraordinary magical powers, and Prince Arthur, heir to the crown of Camelot.",2008,TV-PG,44,"['action', 'scifi', 'drama', 'fantasy', 'european']",['GB'],5.0,tt1199099,7.9,80138.0,123.15,7.9
ts30313,Offspring,SHOW,"An exuberant drama set in Melbourne's Fitzroy, centering on Nina Proudman and her struggle to deal with her fabulously messy family, her hunt for a decent love life and her tendency to overthink and fly off into fantasy.",2010,,44,"['drama', 'comedy']",['AU'],7.0,tt1530541,8.3,4764.0,8.297,7.0
ts35155,Gurren Lagann,SHOW,"In the distant future, mankind has lived quietly and restlessly underground for hundreds of years, subject to earthquakes and cave-ins. Living in one such village are 2 young men: one named Simon who is shy and naïve, and the other named Kamina who believes in the existence of a “surface” world above their heads.",2007,TV-14,24,"['scifi', 'action', 'comedy', 'drama', 'animation']",['JP'],1.0,tt0948103,8.3,17024.0,22.238,8.2
ts12787,Code Geass: Lelouch of the Rebellion,SHOW,"Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...",2006,TV-14,24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",['JP'],3.0,tt0994314,8.7,62367.0,36.627,8.5
ts21544,Transformers: Prime,SHOW,"Roll out with Optimus Prime, Bumblebee, Arcee, Ratchet, Bulkhead, and the rest of the heroic Autobots as they battle the evil Decepticons. Now that big bad Megatron has returned with a mysterious and dangerous element, Team Prime must prepare for an epic battle.",2010,TV-Y7,22,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",['US'],4.0,tt1659175,7.9,6500.0,31.514,8.0
ts31263,The Mole,SHOW,"Players working as a team complete a series of difficult physical and psychological tests, each worth a set amount of money. One of the players, however, is a ""Mole"" or saboteur, whose goal is to foil the efforts of the other players without revealing his or her identity. At the end of each episode, the group is given a quiz on The Mole's identity. The player who knows the least information about The Mole is then immediately sent home. In the final episode, The Mole is revealed and the one remaining player wins the jackpot, up to $1,000,000.",2001,TV-14,52,['reality'],"['US', 'BE']",5.0,tt0294149,7.6,1104.0,4.376,7.8
ts687,The 4400,SHOW,"4400 centers on the return of 4400 people who, previously presumed dead or reported missing, reappear on Earth. Though they have not aged physically, some of them seem to have deeper alterations ranging from superhuman strength to an unexplained healing touch. A government agency is formed to track the 4400 people after one of them commits a murder.",2004,TV-14,44,"['scifi', 'thriller', 'drama']",['US'],4.0,tt0389564,7.3,44971.0,21.12,7.2
ts24028,Still Game,SHOW,Cult Scottish comedy about the lives of two OAP's (Old Age Pensioners) Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional town of Craiglang.,2002,TV-14,29,"['comedy', 'european']",['GB'],9.0,tt0281491,8.9,7539.0,5.171,8.3
ts23752,Midnight Diner,SHOW,"Set in a small restaurant in the corner of a shopping district. The unusual eatery is only open after midnight, and its standard menu consists of just a single choice. However, the customers still come for the amusing chatter and the proprietor's willingness to cook any dish that they request. This drama depicts the lives of the restaurant's patrons, including a yakuza, an unsuccessful actor, a group of office ladies, a newspaper delivery boy, and a stripper.",2009,TV-MA,27,"['drama', 'comedy']",['JP'],5.0,tt1882928,8.6,2110.0,15.027,7.8
ts21706,H2O: Just Add Water,SHOW,H2O: Just Add Water revolves around three teenage girls facing everyday teen problems with an added twist: they cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.,2006,TV-PG,25,"['drama', 'scifi', 'fantasy', 'family']",['AU'],3.0,tt0491603,7.2,14782.0,21.417,7.8
